date,total_new_confirmed,total_new_deceased,total_cumulative_confirmed,total_cumulative_deceased,total_cumulative_tested,total_new_persons_vaccinated,total_cumulative_persons_vaccinated,total_new_persons_fully_vaccinated,total_cumulative_persons_fully_vaccinated,total_new_vaccine_doses_administered,total_cumulative_vaccine_doses_administered,total_new_hospitalized_patients,total_cumulative_hospitalized_patients,total_cumulative_recovered,total_new_recovered,total_cumulative_intensive_care_patients
2022-01-02,88701,270,98310977,1360858,1261368078,689535,847665306,1826897,608920928,2516432,1456586234,,,62068709,10007,
2022-01-01,98450,848,98224827,1360624,1259479461,1335170,846975771,3869210,607094031,5204380,1454069802,,,62061223,31552,
2021-12-31,49394,905,98128929,1359812,1257287765,2419808,845640601,7728117,603224821,10147925,1448865422,,,62032192,-2399,
2021-12-30,85716,883,98082088,1358943,1255023890,905343,843220793,2616313,595496704,3521656,1438717497,,,62037112,16536,
2021-12-29,23065,874,97995927,1358052,1252366302,2219977,842315450,6906090,592880391,9126067,1435195841,,,62023096,25744,
2021-12-28,32521,898,97978414,1357258,1250101251,1777309,840095473,5845346,585974301,7622655,1426069774,,,61999871,16337,
2021-12-27,23245,919,97948447,1356396,1247907083,1023876,838318164,2691640,580128955,3715516,1418447119,,,61986053,14533,
2021-12-26,43188,1169,97927757,1355513,1245909455,215553,837294288,534259,577437315,749812,1414731603,,,61974039,37581,
2021-12-25,159,452,97862693,1354154,1243513338,2340951,837078735,7084270,576903056,9425221,1413981791,,,61914773,-5686,
2021-12-24,13098,873,97889523,1353964,1211089746,1472083,834737784,4863198,569818786,6335281,1404556570,,,61947182,6266,
2021-12-23,22186,1164,97878982,1353127,1239798966,1501826,833265701,5669185,564955588,7171011,1398221289,,,61943434,15765,
2021-12-22,23293,1267,97859353,1351999,1237580891,621352,831763875,1907255,559286403,2528607,1391050278,,,61930187,15536,
2021-12-21,21793,1072,97838617,1350768,1235172929,1922654,831142523,6375829,557379148,8298483,1388521671,,,61917168,15439,
2021-12-20,28012,1306,97819381,1349732,1232930188,900274,829219869,2894052,551003319,3794326,1380223188,,,61904247,23846,
2021-12-19,17664,1129,97793926,1348462,1230680307,951123,828319595,2420250,548109267,3371373,1376428862,,,61882919,18082,
2021-12-18,15871,254,97778818,1347369,1228976190,1837282,827368472,5853284,545689017,7690566,1373057489,,,61867355,9436,
2021-12-17,23157,873,97765502,1347151,1226660817,2080152,825531190,6795523,539835733,8875675,1365366923,,,61860439,19138,
2021-12-16,23673,1093,97744900,1346314,1221741964,905385,823451038,3100505,533040210,4005890,1356491248,,,61843823,17411,
2021-12-15,25105,1102,97723782,1345257,1221729452,1581743,822545653,4612190,529939705,6193933,1352485358,,,61828934,17422,
2021-12-14,23605,865,97701232,1344191,1219186400,3056350,820963910,7769512,525327515,10825862,1346291425,,,61814034,17797,
2021-12-13,20212,782,97680182,1343362,1216991506,1199310,817907560,2867027,517558003,4066337,1335465563,,,61798757,17465,
2021-12-12,29962,1167,97662524,1342616,1215197237,1320252,816708250,2584726,514690976,3904978,1331399226,,,61783809,26023,
2021-12-11,16937,353,97635116,1341485,1213172769,3944006,815387998,11175154,512106250,15119160,1327494248,,,61760307,9861,
2021-12-10,25371,1121,97620732,1341168,1210955148,1301486,811443992,2829063,500931096,4130549,1312375088,,,61752967,19924,
2021-12-09,26427,1322,97597915,1340083,1208435087,2386956,810142506,5982505,498102033,8369461,1308244539,,,61735565,17249,
2021-12-08,28872,973,97574042,1338797,1206009600,2350954,807755550,5561905,492119528,7912859,1299875078,,,61720839,18093,
2021-12-07,27941,577,97547724,1337860,1203551105,2510537,805404596,5733619,486557623,8244156,1291962219,,,61705269,20573,
2021-12-06,32732,986,97484454,1336558,1200342601,1476684,802894059,3477821,480824004,4954505,1283718063,,,61650903,30948,
2021-12-05,16221,343,97454278,1335608,1167722503,1671851,801417375,3285462,477346183,4957313,1278763558,,,61622480,9608,
2021-12-04,27601,981,97440615,1335301,1196252902,3461701,799745524,8616516,474060721,12078217,1273806245,,,61615398,20214,
2021-12-03,27550,8503,97453457,1335117,1191959850,1755510,796283823,4106107,465444205,5861617,1261728028,,,61634027,12679,
2021-12-02,39221,2031,97428463,1326650,1192312907,2901770,794528313,7447465,461338098,10349235,1255866411,,,61623876,27625,
2021-12-01,19274,546,97391795,1324655,1190001587,2572347,791626543,5889687,453890633,8462034,1245517176,,,61598781,9516,
2021-11-30,29354,1053,97375078,1324145,1187902892,2698799,789054196,5864337,448000946,8563136,1237055142,,,61591795,22004,
2021-11-29,42913,1079,97348281,1323128,1185844075,1707475,786355397,3589830,442136609,5297305,1228492006,,,61572322,42565,
2021-11-28,7068,282,97307926,1322085,1184047476,3572179,784647922,7129476,438546779,10701655,1223194701,,,61532288,308,
2021-11-27,49701,1714,97303417,1321839,1182304692,524738,781075743,1210227,431417303,1734965,1212493046,,,61534511,41386,
2021-11-26,6419,1467,97256275,1320161,1179539994,4035094,780551005,8194345,430207076,12229439,1210758081,,,61495656,4669,
2021-11-25,29212,1365,97252417,1318730,1177858243,1439479,776515911,3319934,422012731,4759413,1198528642,,,61493520,18605,
2021-11-24,30269,1309,97225766,1317401,1175736289,2860722,775076432,6961297,418692797,9822019,1193769229,,,61477447,21996,
2021-11-23,29178,1297,97198059,1316128,1173577154,2619157,772215710,5484677,411731500,8103834,1183947210,,,61457985,23082,
2021-11-22,47576,1418,97171442,1314867,1171347343,2608531,769596553,5177618,406246823,7786149,1175843376,,,61437436,51202,
2021-11-21,32440,-50,97126430,1313485,1169563224,1623177,766988022,2749045,401069205,4372222,1168057227,,,61388766,25751,
2021-11-20,-12290,1029,97069646,1313342,1167137035,3195562,765364845,6893887,398320160,10089449,1163685005,,,61339351,-14181,
2021-11-19,32686,876,97095837,1312374,1165793931,1636999,762169283,3171671,391426273,4808670,1153595556,,,61366888,24742,
2021-11-18,33834,1208,97065718,1311534,1163560748,2280679,760532284,5499500,388254602,7780179,1148786886,,,61344678,-96169,
2021-11-17,36215,1427,97034451,1310362,1161357664,2198918,758251605,5119576,382755102,7318494,1141006707,,,61443378,146495,
2021-11-16,33731,1095,97000803,1308971,1159010674,2119881,756052687,4586842,377635526,6706723,1133688213,,,61299414,25645,
2021-11-15,38998,808,96969639,1307912,1156753765,1270585,753932806,2821469,373048684,4092054,1126981490,,,61276302,34629,
2021-11-14,21449,385,96933210,1307140,1154828848,1180613,752662221,2528470,370227215,3709083,1122889436,,,61244206,15706,
2021-11-13,34248,719,96914329,1306791,1152889463,2302145,751481608,5454892,367698745,7757037,1119180353,,,61231032,24247,
2021-11-12,36122,1423,96882651,1306108,1150381760,2307238,749179463,6340486,362243853,8647724,1111423316,,,61209319,-96677,
2021-11-11,38105,1584,96849098,1304721,1148114675,1274981,746872225,3694240,355903367,4969221,1102775592,,,61308530,150368,
2021-11-10,40493,1210,96813561,1303173,1145849285,1612863,745597244,4045369,352209127,5658232,1097806371,,,61160696,29000,
2021-11-09,68682,2077,96775635,1301999,1142240651,1234226,743984381,2677876,348163758,3912102,1092148139,,,61134232,-241663,
2021-11-08,146779,2500,96709520,1299958,1124338475,1539500,742750155,3554252,345485882,5093752,1088236037,,,61378432,313331,
2021-11-07,-13825,1144,96565309,1297494,1092983174,842260,741210655,2122548,341931630,2964808,1083142285,,,61067639,101855,
2021-11-06,-41361,-837,96581703,1296386,1113361452,774356,740368395,1609498,339809082,2383854,1080177477,,,60968327,-49059,
2021-11-05,146743,3134,96625633,1297259,1133991422,236238,739594039,450062,338199584,686300,1077793623,,,61019932,15209,
2021-11-04,-95740,-1154,96300012,1293239,1099395634,855851,739357801,1192051,337749522,2047902,1077107323,,,60826807,15626,
2021-11-03,39879,1174,96579768,1295351,1131472906,2055375,738501950,3285400,336557471,5340775,1075059421,,,60994205,31523,
2021-11-02,37843,1101,96542457,1294213,1113952928,866207,736446575,1198110,333272071,2064317,1069718646,,,60965238,30169,
2021-11-01,63019,2266,96507184,1293148,1096364451,2037639,735580368,2985339,332073961,5022978,1067654329,,,60937628,57210,
2021-10-31,-3038937,-38426,96446735,1290918,1125543729,2481143,1463676791,3344645,658276696,5825788,2121953487,,,60882976,-3010933,
2021-10-30,48965,1342,99374647,1327620,1374622672,5293094,1461195648,8613812,654932051,13906906,2116127699,,,63896471,39377,
2021-10-29,52019,1752,99336981,1326486,1371942798,6060821,1455902554,9301777,646318239,15362598,2102220793,,,63868148,37555,
2021-10-28,53416,2360,99296262,1324942,1368967651,5157127,1449841733,8433650,637016462,13590777,2086858195,,,63841646,36464,
2021-10-27,57610,2470,99254147,1322790,1366174512,4215206,1444684606,6677421,628582812,10892627,2073267418,,,63816235,44336,
2021-10-26,53604,2097,99207843,1320528,1363469662,5076593,1440469400,7547995,621905391,12624588,2062374791,,,63782952,38379,
2021-10-25,47726,1497,99165548,1318639,1360892629,3466178,1435392807,5104145,614357396,8570323,2049750203,,,63755626,42444,
2021-10-24,52463,1437,99129138,1317350,1358678186,4346596,1431926629,5953460,609253251,10300056,2041179880,,,63724235,47488,
2021-10-23,56863,1762,99087993,1316121,1356348592,4999492,1427580033,6706942,603299791,11706434,2030879824,,,63687799,43318,
2021-10-22,59001,2095,99042449,1314567,1353694567,5879093,1422580541,7985849,596592849,13864942,2019173390,,,63655533,45125,
2021-10-21,58251,1328,98994770,1312680,1350973944,7423578,1416701448,5748184,588607000,13171762,2005308448,,,63621460,47604,
2021-10-20,63043,751,98947840,1311559,1348166674,9896085,1409277870,7311221,582858816,17207306,1992136686,,,63584906,45394,
2021-10-19,58696,754,98896122,1311015,1345713558,5529069,1399381785,7142116,575547595,12671185,1974929380,,,63550561,49143,
2021-10-18,49863,717,98848752,1310468,1343129372,4828280,1393852716,6603163,568405479,11431443,1962258195,,,63512468,49122,
2021-10-17,52273,688,98810214,1309958,1340841527,2201527,1389024436,2815101,561802316,5016628,1950826752,,,63474396,49389,
2021-10-16,52402,654,98769266,1309477,1338658884,2295764,1386822909,3439426,558987215,5735190,1945810124,,,63436057,49712,
2021-10-15,56910,666,98728189,1309030,1336392012,1672207,1384527145,2067381,555547789,3739588,1940074934,,,63397394,45836,
2021-10-14,60579,1124,98682604,1308571,1334329634,2628721,1382854938,3045984,553480408,5674705,1936335346,,,63362607,48898,
2021-10-13,65810,1077,98633350,1307654,1331857660,4064966,1380226217,4341287,550434424,8406253,1930660641,,,63324758,49724,
2021-10-12,61526,902,98578859,1306784,1328261399,6146253,1376161251,5686444,546093137,11832697,1922254388,,,63286083,55588,
2021-10-11,52773,779,98528648,1306089,1326404375,5409903,1370014998,5351770,540406693,10761673,1910421691,,,63241545,63326,
2021-10-10,62907,761,98487189,1305517,1323974515,6746808,1364605095,6333304,535054923,13080112,1899660018,,,63189268,53284,
2021-10-09,64446,817,98435596,1304963,1321583056,7762083,1357858287,7146729,528721619,14908812,1886579906,,,63147034,57186,
2021-10-08,68281,901,98382463,1304353,1318840501,8605242,1350096204,7638452,521574890,16243694,1871671094,,,63100900,56089,
2021-10-07,73088,998,98325494,1303659,1316109858,4868755,1341490962,4126433,513936438,8995188,1855427400,,,63055862,59953,
2021-10-06,76792,1097,98263718,1302868,1313226980,5200499,1336622207,4800405,509810005,10000904,1846432212,,,63006961,59189,
2021-10-05,70784,1064,98198238,1301978,1310043769,7250623,1331421708,6097489,505009600,13348112,1836431308,,,62958823,59095,
2021-10-04,63476,991,98138766,1301121,1307034319,6514546,1324171085,5943275,498912111,12457821,1823083196,,,62910779,69256,
2021-10-03,72168,830,98086602,1300337,1304762336,4325450,1317656539,3583266,492968836,7908716,1810625375,,,62852572,63297,
2021-10-02,77596,861,98025747,1299714,1302465585,8158095,1313331089,7335795,489385570,15493890,1802716659,,,62800322,61792,
2021-10-01,80983,906,97959463,1299060,1299574764,7897809,1305172994,6154145,482049775,14051954,1787222769,,,62749575,60794,
2021-09-30,89109,987,97889793,1298361,1296419084,7411034,1297275185,6059222,475895630,13470256,1773170815,,,62699825,66344,
2021-09-29,83210,1094,97811996,1297581,1293585168,7057538,1289864151,6197204,469836408,13254742,1759700559,,,62644525,67321,
2021-09-28,77480,1243,97740099,1296694,1290143225,5791654,1282806613,4633638,463639204,10425292,1746445817,,,62588249,69704,
2021-09-27,58991,935,97673934,1295658,1286994844,14099851,1277014959,9431970,459005566,23531821,1736020525,,,62529589,58434,
2021-09-26,83213,924,97626257,1294930,1284350432,4412298,1262915108,3300037,449573596,7712335,1712488704,,,62482199,69128,
2021-09-25,92513,993,97554358,1294213,1281594785,5908133,1258502810,5746889,446273559,11655022,1704776369,,,62424114,61771,
2021-09-24,97535,1030,97473158,1293427,1278293577,10386027,1252594677,7439087,440526670,17825114,1693121347,,,62373383,65492,
2021-09-23,102507,1119,97386936,1292604,1274843539,9938472,1242208650,7531146,433087583,17469618,1675296233,,,62318926,74759,
2021-09-22,105390,1078,97295740,1291692,1271519891,7422134,1232270178,5513621,425556437,12935755,1657826615,,,62255197,73764,
2021-09-21,96633,1245,97201659,1290821,1268181685,10619320,1224848044,6986171,420042816,17605491,1644890860,,,62192463,78169,
2021-09-20,86945,1076,97116333,1289783,1264658168,10257835,1214228724,7141668,413056645,17399503,1627285369,,,62125321,78670,
2021-09-19,98004,1040,97040694,1288914,1261829752,7621816,1203970889,5337574,405914977,12959390,1609885866,,,62057673,96214,
2021-09-18,102605,1105,96953996,1288081,1258878147,16054582,1196349073,11635500,400577403,27690082,1596926476,,,61972477,88880,
2021-09-17,111640,1067,96862697,1287183,1256069069,16748018,1180294491,12181102,388941903,28929120,1569236394,,,61894610,76944,
2021-09-16,114901,1114,96762358,1286323,1252798727,9945999,1163546473,6753534,376760801,16699533,1540307274,,,61828678,85472,
2021-09-15,105020,1308,96658759,1285416,1249502030,9183411,1153600474,6257731,370007267,15441142,1523607741,,,61754216,86156,
2021-09-14,95417,1184,96565040,1284315,1246162138,5761616,1144417063,3341514,363749536,9103130,1508166599,,,61679068,85665,
2021-09-13,86050,1161,96480920,1283338,1242911384,12385830,1138655447,6021039,360408022,18406869,1499063469,,,61604411,89043,
2021-09-12,98589,966,96406162,1282384,1240061876,8085406,1126269617,4393635,354386983,12479041,1480656600,,,61526379,90930,
2021-09-11,99679,1088,96318859,1281625,1237276704,10580383,1118184211,6351548,349993348,16931931,1468177559,,,61446463,85255,
2021-09-10,114412,1154,96230466,1280744,1233969407,6968369,1107603828,3041225,343641800,10009594,1451245628,,,61372222,82382,
2021-09-09,91524,1024,96127338,1279797,1230518787,12178220,1100635459,5367761,340600575,17545981,1441236034,,,61300853,58347,
2021-09-08,131616,1134,96047096,1278980,1226836006,13797611,1088457239,6139205,335232814,19936816,1423690053,,,61253519,90737,
2021-09-07,120662,1096,95926757,1278053,1223086263,13983664,1074659628,5711116,329093609,19694780,1403753237,,,61173796,79190,
2021-09-06,99388,963,95808653,1276992,1219594779,10876923,1060675964,4581899,323382493,15458822,1384058457,,,61097131,86904,
2021-09-05,111606,747,95711823,1276064,1216304063,6138324,1049799041,3504216,318800594,9642540,1368599635,,,61012752,88899,
2021-09-04,125151,854,95602774,1275352,1213094227,6028732,1043660717,3519618,315296378,9548350,1358957095,,,60926382,76934,
2021-09-03,129130,1014,95480175,1274533,1209368321,8374717,1037631985,3755585,311776760,12130302,1349408745,,,60851977,73467,
2021-09-02,134892,1060,95353596,1273554,1205724192,11691417,1029257268,4429633,308021175,16121050,1337278443,,,60781040,70273,
2021-09-01,138316,1397,95221257,1272529,677315980,19134147,1017565851,6567370,303591542,25701517,1321157393,,,60713300,70997,
2021-08-31,134113,1456,95085498,1271167,1198678584,14235522,998431704,4842468,297024172,19077990,1295455876,,,60644841,68990,
2021-08-30,103653,881,94953944,1269746,1195366114,9438065,984196182,3426981,292181704,12865046,1276377886,,,60578385,73335,
2021-08-29,118873,1427,94852849,1268900,1192408885,12270434,974758117,5844581,288754723,18115015,1263512840,,,60507585,70215,
2021-08-28,133956,1309,94736534,1267508,1189057545,7453586,483512657,2870653,142352109,10324239,625864766,,,60439907,72280,
2021-08-27,139693,1507,94605137,1266234,1185330919,15966370,955034097,5963538,280039489,21929908,1235073586,,,60370166,63207,
2021-08-26,136742,1510,94468004,1264762,1181363902,10747111,939067727,4082577,274075951,14829688,1213143678,,,60309503,66485,
2021-08-25,137659,1726,94333822,1263287,1177552222,12538725,928320616,4994590,269993374,17533315,1198313990,,,60245562,69101,
2021-08-24,122275,1928,94198725,1261596,1173621708,9324401,915781891,3673874,264998784,12998275,1180780675,,,60179016,68898,
2021-08-23,88159,1375,94079014,1259703,1170027685,5658356,906457490,2256956,261324910,7915312,1167782400,,,60112671,79440,
2021-08-22,77683,1139,93993420,1258363,1166828484,3651857,900799134,1814365,259067954,5466222,1159867088,,,60035789,88879,
2021-08-21,87788,1199,93918304,1257259,1164019950,5642722,897147277,2888825,257253589,8531547,1154400866,,,59949479,77421,
2021-08-20,100185,1165,93833086,1256095,1160566700,7803586,891504555,2642032,254364764,10445618,1145869319,,,59874617,71770,
2021-08-19,108164,1474,93735469,1254965,1156780302,7801131,883700969,2435277,251722732,10236408,1135423701,,,59805416,73298,
2021-08-18,110253,1600,93629874,1253526,1152411811,8625730,875899838,2841872,249287455,11467602,1125187293,,,59734697,78417,
2021-08-17,107424,1418,93522197,1251961,1148610500,9298334,867274108,2622864,246445583,11921198,1113719691,,,59658866,73772,
2021-08-16,85464,1325,93417349,1250578,1145052498,13228430,857975774,2318819,243822719,15547249,1101798493,,,59587692,73615,
2021-08-15,92506,1287,93334464,1249288,1141507849,1497349,422171943,513374,120233011,2010723,542404954,,,59516659,71919,
2021-08-14,105678,1408,93244536,1248035,1138777011,11458501,843249995,3853860,240990526,15312361,1084240521,,,59447345,75659,
2021-08-13,113978,1449,93141444,1246661,1134869521,15082545,831791494,4043286,237136666,19125831,1068928160,,,59374292,71026,
2021-08-12,118851,1644,93030054,1245246,1130609746,4648782,409728620,1262381,116402690,5911163,526131310,,,59305866,83692,
2021-08-11,123405,1571,92913796,1243636,1126491901,6768357,812060167,2411829,231830999,9180186,1043891166,,,59224767,78100,
2021-08-10,117985,1486,92792988,1242099,1122124104,6875869,805291810,2283790,229419170,9159659,1034710980,,,59149264,79889,
2021-08-09,93465,1250,92677605,1240647,1118503728,8980740,798415941,2689623,227135380,11670363,1025551321,,,59071959,81672,
2021-08-08,100658,1270,92586751,1239431,1115311478,2578884,789435201,1129650,224445757,3708534,1013880958,,,58992873,78833,
2021-08-07,113479,1426,92488704,1238195,1111700861,8673018,786856317,2928082,223316107,11601100,1010172424,,,58916625,87213,
2021-08-06,116318,1720,92377847,1236803,1107922855,8666299,778183299,2542620,220388025,11208919,998571324,,,58832004,79075,
2021-08-05,128273,1544,92264167,1235117,1104078944,9009424,769517000,2960503,217845405,11969927,987362405,,,58755520,80839,
2021-08-04,129768,1523,92138525,1233607,1100295542,6071142,760507576,2039449,214884902,8110591,975392478,,,58677260,82661,
2021-08-03,127477,1647,92011376,1232118,1096389547,15559554,754436434,4245241,212845453,19804795,967281887,,,58597189,72229,
2021-08-02,102567,1397,91886516,1230505,1092523641,4632084,370882294,1687302,104371159,6319386,475253453,,,58527546,76979,
2021-08-01,111759,1271,91786573,1229141,1089088584,9362699,734244796,3267504,206912910,12630203,941157706,,,58453162,72219,
2021-07-31,123622,1499,91677438,1227903,1085677803,6985847,365061784,1794270,101947240,8780117,467009024,,,58383558,77866,
2021-07-30,124129,1715,91556436,1226437,1081833260,7358844,717896250,3609736,201851136,10968580,919747386,,,58308313,73573,
2021-07-29,129986,1683,91434924,1224755,1078023156,7190818,710537406,3463252,198241400,10654070,908778806,,,58237371,82868,
2021-07-28,129614,1828,91307562,1223105,1073950997,6442352,703346588,2656142,194778148,9098494,898124736,,,58157145,75876,
2021-07-27,128084,1914,91180567,1221310,1070127401,5615636,696904236,2871802,192122006,8487438,889026242,,,58083921,82363,
2021-07-26,104262,1463,91055103,1219429,1066390549,9426641,691288600,4005227,189250204,13431868,880538804,,,58004213,83378,
2021-07-25,105150,1222,90953462,1217998,1062908190,2829993,681861959,1260112,185244977,4090105,867106936,,,57923508,70792,
2021-07-24,118474,1490,90850928,1216808,1059816431,7135709,679031966,3401096,183984865,10536805,863016831,,,57855400,78593,
2021-07-23,117239,1611,90735072,1215350,1056013189,5749205,671896257,3180255,180583769,8929460,852480026,,,57779493,67946,
2021-07-22,107439,1493,90620454,1213771,1052396125,7371723,666147052,3759205,177403514,11130928,843550566,,,57714256,75078,
2021-07-21,117080,1478,90515645,1212310,1048429699,3085928,658775329,1671343,173644309,4757271,832419638,,,57641907,75962,
2021-07-20,124148,8492,90401202,1210864,1044732538,4646499,655689401,2604527,171972966,7251026,827662367,,,57568690,72696,
2021-07-19,99582,4729,90279689,1202404,1040914406,7947039,651042902,4331051,169368439,12278090,820411341,,,57498719,89017,
2021-07-18,105950,1373,90182746,1197707,1037234497,1050674,321202101,499104,81999435,1549778,403201536,,,57412442,75324,
2021-07-17,119106,1510,90079453,1196366,1033780255,6456962,642045189,4014062,164538284,10471024,806583473,,,57339879,81973,
2021-07-16,115762,1625,89963010,1194888,1029733498,5097464,635588227,3604734,160524222,8702198,796112449,,,57260681,85671,
2021-07-15,114492,1629,89849913,1193295,1025672965,5172905,630490763,2831982,156919488,8004887,787410251,,,57177834,77730,
2021-07-14,120536,1697,89738100,1191698,1021656453,4283333,625317858,3000321,154087506,7283654,779405364,,,57102938,76697,
2021-07-13,119324,1805,89620260,1190033,1017563033,9549170,621034525,2910173,151087185,12459343,772121710,,,57029085,82308,
2021-07-12,98493,3159,89503636,1188259,1013703008,5187498,611485355,3041588,148177012,8229086,759662367,,,56949551,93950,
2021-07-11,107324,3449,89407861,1185131,1010228916,1694579,606297857,944712,145135424,2639291,751433281,,,56858389,77078,
2021-07-10,118305,2501,89303288,1181713,1006910583,6920533,604603278,3955400,144190712,10875933,748793990,,,56784138,80635,
2021-07-09,124655,3294,89187744,1179243,1002962359,2063329,299003832,1140118,69923003,3203447,368926835,,,56706341,88164,
2021-07-08,127470,3001,89065861,1175981,998901569,10282094,595619416,4778768,139095194,15060862,734714610,,,56621101,85948,
2021-07-07,132916,2522,88941174,1173012,995074861,4585238,585337322,2701880,134316426,7287118,719653748,,,56538092,86748,
2021-07-06,131697,2646,88811055,1170522,991058658,4565035,580752084,2281514,131614546,6846549,712366630,,,56454277,92566,
2021-07-05,110070,2009,88682165,1167908,987233574,5144910,576187049,3365941,129333032,8510851,705520081,,,56364662,101331,
2021-07-04,114529,1987,88574925,1165931,983855016,3410422,571042139,1338278,125967091,4748700,697009230,,,56266334,82301,
2021-07-03,123874,2594,88463240,1163976,980450431,10285958,567631717,4951909,124628813,15237867,692260530,,,56187079,102187,
2021-07-02,129520,2402,88342211,1161414,976585247,3935090,557345759,1528746,119676904,5463836,677022663,,,56087951,112118,
2021-07-01,135627,2411,88215553,1159044,972341250,7637047,553410669,2305327,118148158,9942374,671558827,,,55979054,115207,
2021-06-30,141688,2819,88082802,1156665,967988653,3317880,545773622,1275160,115842831,4593040,661616453,,,55867088,120941,
2021-06-29,118464,2367,87944000,1153878,963904182,7514022,542455742,2309354,114567671,9823376,657023413,,,55749394,100269,
2021-06-28,118230,2587,87808303,1151293,960026232,6826914,534941720,1932465,112258317,8759379,647200037,,,55632804,110651,
2021-06-27,129406,2815,87692980,1148738,956485949,4211597,528114806,877859,110325852,5089456,638440658,,,55525453,113534,
2021-06-26,143629,3449,87566498,1145955,952496526,12442271,523903209,2449103,109447993,14891374,633351202,,,55415243,111889,
2021-06-25,145041,3593,87425810,1142538,947973051,11804614,511460938,1900069,106998890,13704683,618459828,,,55306694,121758,
2021-06-24,149576,3787,87283723,1138977,943673142,11444294,499656324,1559696,105098821,13003990,604755145,,,55188312,124988,
2021-06-23,157272,3940,87137115,1135222,939873868,9463472,488212030,1031511,103539125,10494983,591751155,,,55066726,133827,
2021-06-22,152666,3985,86982812,1131314,935877505,11054390,478748558,1360434,102507614,12414824,581256172,,,54936312,133764,
2021-06-21,134044,3644,86833119,1127361,931907271,16142657,467694168,1610751,101147180,17753408,568841348,,,54806046,159295,
2021-06-20,147201,3968,86702081,1123749,928482766,6102674,451551511,618123,99536429,6720797,551087940,,,54650284,151577,
2021-06-19,166764,4523,86557917,1119812,925171303,7735591,445448837,1118358,98918306,8853949,544367143,,,54502259,169102,
2021-06-18,175812,4807,86394201,1115319,921200146,6016711,437713246,793985,97799948,6810696,535513194,,,54336798,189872,
2021-06-17,181959,4763,86221451,1110542,917002555,7135775,431696535,949723,97005963,8085498,528702498,,,54150630,170787,
2021-06-16,193095,6165,86042584,1105810,912916441,5778138,424560760,789633,96056240,6567771,520617000,,,53983572,201631,
2021-06-15,187421,7352,85852613,1099676,908870108,4774512,418782622,694685,95266607,5469197,514049229,,,53785706,210623,
2021-06-14,178612,7934,85668349,1092357,904944147,6794691,414008110,726254,94571922,7520945,508580032,,,53578879,227893,
2021-06-13,199954,10488,85492937,1084455,901342749,4393751,407213419,501744,93845668,4895495,501059087,,,53354795,231016,
2021-06-12,227076,10425,85296217,1074000,897868304,5442346,402819668,633875,93343924,6076221,496163592,,,53127594,256623,
2021-06-11,245295,11212,85072403,1063607,893795808,6267409,397377322,664987,92710049,6932396,490087371,,,52874800,236555,
2021-06-10,262661,10701,84830386,1052427,889573983,6131414,391109913,649609,92045062,6781023,483154975,,,52642097,262337,
2021-06-09,274113,15561,84571007,1041758,885327063,6203468,384978499,637058,91395453,6840526,476373952,,,52383733,290392,
2021-06-08,273923,10477,84300221,1026228,881158612,5403701,378775031,646210,90758395,6049911,469533426,,,52097410,316850,
2021-06-07,259394,6261,84029659,1015782,877062352,5306253,373371330,552733,90112185,5858986,463483515,,,51784652,354032,
2021-06-06,285074,6903,83773675,1009551,873289078,3679758,368065077,253805,89559452,3933563,457624529,,,51434815,338054,
2021-06-05,323599,7644,83492072,1002679,869605126,4984474,364385319,437877,89305647,5422351,453690966,,,51101056,369272,
2021-06-04,347964,9265,83171959,995067,863768078,8341508,359400845,669323,88867770,9010831,448268615,,,50736096,385424,
2021-06-03,378348,8677,82827554,985835,857742029,5249813,351059337,477100,88198447,5726913,439257784,,,50354970,402952,
2021-06-02,393319,8292,82452822,977190,851808071,4533872,345809524,497929,87721347,5031801,433530871,,,49956282,414062,
2021-06-01,392121,9121,82063177,968928,845838156,4605425,341275652,580447,87223418,5185872,428499070,,,49546625,450571,
2021-05-31,379411,8555,81674762,959839,840425926,4176559,336670227,491243,86642971,4667802,423313198,,,49100438,497595,
2021-05-30,427624,8859,81299137,951316,836545307,2435203,332493668,228482,86151728,2663685,418645396,,,48607241,461801,
2021-05-29,472776,9776,80875359,942490,832743132,6391366,330058465,694954,85923246,7086320,415981711,,,48149746,516416,
2021-05-28,502262,10367,80406476,932748,828449905,4749531,323667099,389419,85228292,5138950,408895391,,,47637647,556143,
2021-05-27,533847,10651,79908161,922413,824102657,5416724,318917568,378632,84838873,5795356,403756441,,,47085799,526710,
2021-05-26,596376,11041,79378317,911793,819796818,4553746,313500844,397477,84460241,4951223,397961085,,,46563358,549938,
2021-05-25,616227,11809,78785999,900781,815293799,3121399,308947098,334868,84062764,3456267,393009862,,,46017611,574538,
2021-05-24,589325,10785,78173842,889002,810841756,4572030,305825699,355559,83727896,4927589,389553595,,,45447116,635799,
2021-05-23,632294,12058,77588631,878250,806716239,1798539,301253669,125806,83372337,1924345,384626006,,,44815204,583806,
2021-05-22,690210,11577,76960487,866227,802611334,4037478,299455130,544184,83246531,4581662,382701661,,,44235159,689672,
2021-05-21,740101,11710,76274427,854683,798205775,1298374,148793000,187830,41440114,1486204,190233114,,,43548986,692068,
2021-05-20,759425,12188,75538512,843008,793888174,5867246,294119278,472522,82514517,6339768,376633795,,,42860347,692845,
