title,type,genres,year,Genres1,Genres2,Genres3
Regeneration,movie,"[""Biography"",""Crime"",""Drama""]",1915,Biography,Crime,Drama
Where Are My Children?,movie,"[""Drama""]",1916,Drama,,
Civilization,movie,"[""Drama""]",1916,Drama,,
Three Ages,movie,"[""Comedy""]",1923,Comedy,,
Clash of the Wolves,movie,"[""Adventure"",""Romance"",""Western""]",1925,Adventure,Romance,Western
Lady Windermere's Fan,movie,"[""Comedy""]",1925,Comedy,,
Upstream,movie,"[""Comedy"",""Drama""]",1927,Comedy,Drama,
Four Sons,movie,"[""Drama"",""War""]",1928,Drama,War,
Westfront 1918,movie,"[""Drama"",""Romance"",""War""]",1930,Drama,Romance,War
Bad Girl,movie,"[""Drama""]",1931,Drama,,
High and Dizzy,movie,"[""Comedy"",""Short""]",1920,Comedy,Short,
Broken Lullaby,movie,"[""Drama""]",1932,Drama,,
Foolish Wives,movie,"[""Drama""]",1922,Drama,,
Movie Crazy,movie,"[""Comedy"",""Family"",""Romance""]",1932,Comedy,Family,Romance
A Woman of Paris: A Drama of Fate,movie,"[""Drama"",""Romance""]",1923,Drama,Romance,
Payment Deferred,movie,"[""Crime"",""Drama""]",1932,Crime,Drama,
Wild Oranges,movie,"[""Drama"",""Romance""]",1924,Drama,Romance,
White Shadows,movie,"[""Drama""]",1924,Drama,,
Trouble in Paradise,movie,"[""Comedy"",""Crime"",""Romance""]",1932,Comedy,Crime,Romance
The Wedding March,movie,"[""Drama""]",1928,Drama,,
Topaze,movie,"[""Drama"",""Comedy""]",1933,Drama,Comedy,
Hallelujah,movie,"[""Drama"",""Musical""]",1929,Drama,Musical,
The Barretts of Wimpole Street,movie,"[""Biography"",""Drama"",""Romance""]",1934,Biography,Drama,Romance
Maria Chapdelaine,movie,"[""Drama""]",1934,Drama,,
The Sin of Madelon Claudet,movie,"[""Drama""]",1931,Drama,,
Red Dust,movie,"[""Drama"",""Romance""]",1932,Drama,Romance,
Folies Bergère de Paris,movie,"[""Comedy"",""Musical""]",1935,Comedy,Musical,
The New Gulliver,movie,"[""Animation"",""Fantasy""]",1935,Animation,Fantasy,
Scarface,movie,"[""Action"",""Crime"",""Drama""]",1932,Action,Crime,Drama
Shanghai Express,movie,"[""Adventure"",""Drama"",""Romance""]",1932,Adventure,Drama,Romance
Top Hat,movie,"[""Comedy"",""Musical"",""Romance""]",1935,Comedy,Musical,Romance
Dekigokoro,movie,"[""Drama""]",1933,Drama,,
The Garden of Allah,movie,"[""Adventure"",""Drama"",""Romance""]",1936,Adventure,Drama,Romance
Lloyd's of London,movie,"[""Drama"",""History"",""Romance""]",1936,Drama,History,Romance
Flying Down to Rio,movie,"[""Comedy"",""Musical"",""Romance""]",1933,Comedy,Musical,Romance
The Private Life of Henry VIII.,movie,"[""Biography"",""Comedy"",""Drama""]",1933,Biography,Comedy,Drama
The Prisoner of Shark Island,movie,"[""Biography"",""Drama"",""History""]",1936,Biography,Drama,History
The Story of a Cheat,movie,"[""Comedy""]",1936,Comedy,,
She Done Him Wrong,movie,"[""Comedy"",""Drama"",""History""]",1933,Comedy,Drama,History
The Black Cat,movie,"[""Horror"",""Crime"",""Adventure""]",1934,Horror,Crime,Adventure
These Three,movie,"[""Drama"",""Romance""]",1936,Drama,Romance,
In Old Chicago,movie,"[""Action"",""Drama"",""Musical""]",1937,Action,Drama,Musical
It's a Gift,movie,"[""Comedy""]",1934,Comedy,,
The Lost Patrol,movie,"[""Adventure"",""War""]",1934,Adventure,War,
Kid Galahad,movie,"[""Crime"",""Drama"",""Romance""]",1937,Crime,Drama,Romance
They Won't Forget,movie,"[""Drama"",""Film-Noir"",""Mystery""]",1937,Drama,Film-Noir,Mystery
The Man Who Knew Too Much,movie,"[""Crime"",""Film-Noir"",""Mystery""]",1934,Crime,Film-Noir,Mystery
The World Moves On,movie,"[""Drama"",""History"",""Romance""]",1934,Drama,History,Romance
Drums,movie,"[""Adventure"",""War""]",1938,Adventure,War,
Hotel du Nord,movie,"[""Drama"",""Romance""]",1938,Drama,Romance,
Broadway Melody of 1936,movie,"[""Musical"",""Romance""]",1935,Musical,Romance,
China Seas,movie,"[""Action"",""Drama"",""Adventure""]",1935,Action,Drama,Adventure
Destry Rides Again,movie,"[""Comedy"",""Western""]",1939,Comedy,Western,
The Four Feathers,movie,"[""Adventure"",""Drama"",""Romance""]",1939,Adventure,Drama,Romance
Naughty Marietta,movie,"[""Drama"",""Musical"",""Romance""]",1935,Drama,Musical,Romance
Wife! Be Like a Rose!,movie,"[""Drama""]",1935,Drama,,
Of Mice and Men,movie,"[""Drama""]",1939,Drama,,
Who Killed Cock Robin?,movie,"[""Animation"",""Comedy"",""Family""]",1935,Animation,Comedy,Family
The Rains Came,movie,"[""Adventure"",""Drama"",""Romance""]",1939,Adventure,Drama,Romance
The Beloved Vagabond,movie,"[""Drama"",""Musical""]",1936,Drama,Musical,
Come and Get It,movie,"[""Drama""]",1936,Drama,,
The Spy in Black,movie,"[""Thriller"",""War""]",1939,Thriller,War,
Tevya,movie,"[""Drama""]",1939,Drama,,
Dodsworth,movie,"[""Drama"",""Romance""]",1936,Drama,Romance,
Rembrandt,movie,"[""Biography"",""Drama""]",1936,Biography,Drama,
Black Friday,movie,"[""Drama"",""Horror"",""Sci-Fi""]",1940,Drama,Horror,Sci-Fi
His Girl Friday,movie,"[""Comedy"",""Drama"",""Romance""]",1940,Comedy,Drama,Romance
Romeo and Juliet,movie,"[""Drama"",""Romance""]",1936,Drama,Romance,
Theodora Goes Wild,movie,"[""Comedy"",""Romance""]",1936,Comedy,Romance,
Blossoms in the Dust,movie,"[""Biography"",""Drama"",""Romance""]",1941,Biography,Drama,Romance
The Well-Digger's Daughter,movie,"[""Comedy"",""Drama"",""Romance""]",1940,Comedy,Drama,Romance
Make Way for Tomorrow,movie,"[""Drama"",""Romance""]",1937,Drama,Romance,
The Prince and the Pauper,movie,"[""Adventure"",""Drama"",""Family""]",1937,Adventure,Drama,Family
'Pimpernel' Smith,movie,"[""Adventure"",""Comedy"",""Drama""]",1941,Adventure,Comedy,Drama
Across the Pacific,movie,"[""Action"",""Adventure"",""Drama""]",1942,Action,Adventure,Drama
The Adventures of Robin Hood,movie,"[""Action"",""Adventure"",""Romance""]",1938,Action,Adventure,Romance
The Adventures of Tom Sawyer,movie,"[""Family"",""Adventure""]",1938,Family,Adventure,
The Black Swan,movie,"[""Action"",""Adventure"",""Drama""]",1942,Action,Adventure,Drama
The Hard Way,movie,"[""Drama"",""Musical"",""Romance""]",1943,Drama,Musical,Romance
Four Daughters,movie,"[""Drama"",""Music"",""Romance""]",1938,Drama,Music,Romance
Mother Carey's Chickens,movie,"[""Drama"",""Romance""]",1938,Drama,Romance,
The Magnificent Ambersons,movie,"[""Drama"",""Romance""]",1942,Drama,Romance,
Ossessione,movie,"[""Crime"",""Drama"",""Romance""]",1943,Crime,Drama,Romance
Olympia Part One: Festival of the Nations,movie,"[""Documentary"",""Sport""]",1938,Documentary,Sport,
Volga - Volga,movie,"[""Comedy"",""Musical""]",1938,Comedy,Musical,
Kate & Leopold,movie,"[""Comedy"",""Fantasy"",""Romance""]",2001,Comedy,Fantasy,Romance
To Be or Not to Be,movie,"[""Comedy"",""War""]",1942,Comedy,War,
You and Me,movie,"[""Crime"",""Romance""]",1938,Crime,Romance,
La fin du jour,movie,"[""Drama""]",1939,Drama,,
I Walked with a Zombie,movie,"[""Horror""]",1943,Horror,,
Zangiku monogatari,movie,"[""Drama"",""Romance""]",1939,Drama,Romance,
Meshes of the Afternoon,movie,"[""Short""]",1943,Short,,
The Bank Dick,movie,"[""Comedy""]",1940,Comedy,,
Dots,movie,"[""Short"",""Animation""]",1940,Short,Animation,
The Memphis Belle: A Story of a Flying Fortress,movie,"[""Documentary"",""History"",""War""]",1944,Documentary,History,War
Report from the Aleutians,movie,"[""Documentary"",""War""]",1943,Documentary,War,
Fantasia,movie,"[""Animation"",""Family"",""Fantasy""]",1940,Animation,Family,Fantasy
Major Barbara,movie,"[""Comedy""]",1941,Comedy,,
Saludos Amigos,movie,"[""Animation"",""Short"",""Family""]",1942,Animation,Short,Family
The Sea Wolf,movie,"[""Drama"",""Adventure""]",1941,Drama,Adventure,
The Fighting Lady,movie,"[""Documentary"",""War""]",1944,Documentary,War,
Going My Way,movie,"[""Comedy"",""Drama"",""Music""]",1944,Comedy,Drama,Music
Sergeant York,movie,"[""Biography"",""Drama"",""History""]",1941,Biography,Drama,History
Cat People,movie,"[""Horror"",""Thriller""]",1942,Horror,Thriller,
Hail the Conquering Hero,movie,"[""Comedy"",""War""]",1944,Comedy,War,
Detour,movie,"[""Crime"",""Drama"",""Film-Noir""]",1945,Crime,Drama,Film-Noir
People on the Alps,movie,"[""Drama""]",1942,Drama,,
Bataan,movie,"[""War""]",1943,War,,
House of Dracula,movie,"[""Fantasy"",""Horror"",""Sci-Fi""]",1945,Fantasy,Horror,Sci-Fi
La perla,movie,"[""Adventure"",""Drama"",""Romance""]",1947,Adventure,Drama,Romance
So Proudly We Hail!,movie,"[""Drama"",""Romance"",""War""]",1943,Drama,Romance,War
Watch on the Rhine,movie,"[""Drama""]",1943,Drama,,
The Southerner,movie,"[""Drama""]",1945,Drama,,
Since You Went Away,movie,"[""Drama"",""Romance"",""War""]",1944,Drama,Romance,War
Enamorada,movie,"[""Comedy"",""Romance"",""Drama""]",1946,Comedy,Romance,Drama
The Eagle with Two Heads,movie,"[""Drama""]",1948,Drama,,
Rhapsody in Blue,movie,"[""Biography"",""Drama"",""Musical""]",1945,Biography,Drama,Musical
Body and Soul,movie,"[""Drama"",""Film-Noir"",""Sport""]",1947,Drama,Film-Noir,Sport
A Tree Grows in Brooklyn,movie,"[""Drama""]",1945,Drama,,
The Big Sleep,movie,"[""Crime"",""Film-Noir"",""Mystery""]",1946,Crime,Film-Noir,Mystery
The Cat Concerto,movie,"[""Animation"",""Short"",""Comedy""]",1947,Animation,Short,Comedy
Gentleman's Agreement,movie,"[""Drama""]",1947,Drama,,
Let There Be Light,movie,"[""Documentary"",""War""]",1946,Documentary,War,
Make Mine Music,movie,"[""Animation"",""Family"",""Music""]",1946,Animation,Family,Music
Hungry Hill,movie,"[""Drama""]",1947,Drama,,
Murderers Among Us,movie,"[""Drama"",""Romance"",""Thriller""]",1946,Drama,Romance,Thriller
La porta del cielo,movie,,1945,,,
The Yearling,movie,"[""Drama"",""Family""]",1946,Drama,Family,
Lost Youth,movie,"[""Drama""]",1948,Drama,,
Mine Own Executioner,movie,"[""Drama"",""Thriller""]",1947,Drama,Thriller,
Traffic in Souls,movie,"[""Crime"",""Drama""]",1913,Crime,Drama,
Gertie the Dinosaur,movie,"[""Animation"",""Short"",""Comedy""]",1914,Animation,Short,Comedy
The Italian,movie,"[""Drama""]",1915,Drama,,
From Hand to Mouth,movie,"[""Comedy"",""Short"",""Action""]",1919,Comedy,Short,Action
The Saphead,movie,"[""Comedy""]",1920,Comedy,,
The Four Horsemen of the Apocalypse,movie,"[""Drama"",""Romance"",""War""]",1921,Drama,Romance,War
Salomè,movie,"[""Biography"",""Drama"",""History""]",1922,Biography,Drama,History
Robin Hood,movie,"[""Adventure"",""Romance"",""Family""]",1922,Adventure,Romance,Family
Beau Geste,movie,"[""Action"",""Adventure"",""Drama""]",1926,Action,Adventure,Drama
For Heaven's Sake,movie,"[""Action"",""Comedy"",""Romance""]",1926,Action,Comedy,Romance
Asphalt,movie,"[""Drama""]",1929,Drama,,
David Golder,movie,"[""Drama""]",1931,Drama,,
Mèdchen in Uniform,movie,"[""Drama"",""Romance""]",1931,Drama,Romance,
Tabu: A Story of the South Seas,movie,"[""Drama"",""Romance"",""Adventure""]",1931,Drama,Romance,Adventure
The Crowd Roars,movie,"[""Drama"",""Action""]",1932,Drama,Action,
Dames,movie,"[""Comedy"",""Musical"",""Romance""]",1934,Comedy,Musical,Romance
Le grand jeu,movie,"[""Drama"",""Romance""]",1934,Drama,Romance,
Twentieth Century,movie,"[""Comedy"",""Romance""]",1934,Comedy,Romance,
Dante's Inferno,movie,"[""Drama""]",1935,Drama,,
The Devil Is a Woman,movie,"[""Comedy"",""Drama"",""Romance""]",1935,Comedy,Drama,Romance
The Ghost Goes West,movie,"[""Comedy"",""Fantasy"",""Horror""]",1935,Comedy,Fantasy,Horror
The Informer,movie,"[""Drama""]",1935,Drama,,
Scrooge,movie,"[""Drama"",""Family"",""Fantasy""]",1935,Drama,Family,Fantasy
Anthony Adverse,movie,"[""Adventure"",""Drama"",""Romance""]",1936,Adventure,Drama,Romance
The Pearls of the Crown,movie,"[""Comedy"",""History""]",1937,Comedy,History,
Der zerbrochene Krug,movie,"[""Comedy""]",1937,Comedy,,
Boys Town,movie,"[""Biography"",""Drama""]",1938,Biography,Drama,
The Citadel,movie,"[""Drama""]",1938,Drama,,
The Childhood of Maxim Gorky,movie,"[""Biography"",""Drama""]",1938,Biography,Drama,
A Man to Remember,movie,"[""Drama"",""Romance""]",1938,Drama,Romance,
Of Human Hearts,movie,"[""Drama"",""Western""]",1938,Drama,Western,
The Beachcomber,movie,"[""Drama""]",1938,Drama,,
Vivacious Lady,movie,"[""Comedy"",""Romance""]",1938,Comedy,Romance,
The Stars Look Down,movie,"[""Drama""]",1940,Drama,,
On His Own,movie,"[""Biography"",""Drama""]",1939,Biography,Drama,
The Biscuit Eater,movie,"[""Drama"",""Family""]",1940,Drama,Family,
The Great Dictator,movie,"[""Comedy"",""Drama"",""War""]",1940,Comedy,Drama,War
Kitty Foyle,movie,"[""Drama"",""Romance""]",1940,Drama,Romance,
The Mark of Zorro,movie,"[""Action"",""Adventure"",""Romance""]",1940,Action,Adventure,Romance
Blood and Sand,movie,"[""Drama"",""Sport""]",1941,Drama,Sport,
That Hamilton Woman,movie,"[""Drama"",""History"",""Romance""]",1941,Drama,History,Romance
The Brothers and Sisters of the Toda Family,movie,"[""Drama""]",1941,Drama,,
Two-Faced Woman,movie,"[""Comedy"",""Romance""]",1941,Comedy,Romance,
Casablanca,movie,"[""Drama"",""Romance"",""War""]",1942,Drama,Romance,War
Holiday Inn,movie,"[""Comedy"",""Drama"",""Musical""]",1942,Comedy,Drama,Musical
Jungle Book,movie,"[""Action"",""Adventure"",""Family""]",1942,Action,Adventure,Family
Prelude to War,movie,"[""Documentary"",""History"",""War""]",1942,Documentary,History,War
Air Force,movie,"[""Action"",""Drama"",""History""]",1943,Action,Drama,History
Lassie Come Home,movie,"[""Adventure"",""Family""]",1943,Adventure,Family,
The Leopard Man,movie,"[""Horror"",""Thriller""]",1943,Horror,Thriller,
Phantom of the Opera,movie,"[""Drama"",""Horror"",""Music""]",1943,Drama,Horror,Music
Victory Through Air Power,movie,"[""Documentary"",""Animation"",""History""]",1943,Documentary,Animation,History
The Battle of Russia,movie,"[""Documentary"",""History"",""War""]",1943,Documentary,History,War
Double Indemnity,movie,"[""Crime"",""Drama"",""Film-Noir""]",1944,Crime,Drama,Film-Noir
None But the Lonely Heart,movie,"[""Drama"",""Romance""]",1944,Drama,Romance,
Dead of Night,movie,"[""Horror""]",1945,Horror,,
A Song to Remember,movie,"[""Biography"",""Drama"",""Music""]",1945,Biography,Drama,Music
The Testimony,movie,"[""Crime"",""Drama""]",1946,Crime,Drama,
The Three Caballeros,movie,"[""Animation"",""Family"",""Fantasy""]",1944,Animation,Family,Fantasy
The Battle of the Rails,movie,"[""Drama"",""War""]",1946,Drama,War,
The Best Years of Our Lives,movie,"[""Drama"",""Romance"",""War""]",1946,Drama,Romance,War
Sister Kenny,movie,"[""Biography"",""Drama""]",1946,Biography,Drama,
The Stranger,movie,"[""Crime"",""Drama"",""Film-Noir""]",1946,Crime,Drama,Film-Noir
Boomerang!,movie,"[""Crime"",""Drama"",""Film-Noir""]",1947,Crime,Drama,Film-Noir
Wild and Woolly,movie,"[""Comedy"",""Western"",""Romance""]",1917,Comedy,Western,Romance
The Broadway Melody,movie,"[""Musical"",""Romance""]",1929,Musical,Romance,
The Big House,movie,"[""Drama"",""Romance"",""Thriller""]",1930,Drama,Romance,Thriller
The Divorcee,movie,"[""Romance"",""Drama""]",1930,Romance,Drama,
The Devil to Pay!,movie,"[""Comedy"",""Romance""]",1930,Comedy,Romance,
Men Without Women,movie,"[""Action"",""Drama""]",1930,Action,Drama,
Earth,movie,"[""Drama""]",1930,Drama,,
Dracula,movie,"[""Horror""]",1931,Horror,,
The Public Enemy,movie,"[""Crime"",""Drama""]",1931,Crime,Drama,
è Nous la Libertè,movie,"[""Comedy"",""Musical""]",1931,Comedy,Musical,
Grand Hotel,movie,"[""Drama"",""Romance""]",1932,Drama,Romance,
The Emperor Jones,movie,"[""Drama""]",1933,Drama,,
The Power and the Glory,movie,"[""Drama""]",1933,Drama,,
Three Little Pigs,movie,"[""Animation"",""Musical"",""Family""]",1933,Animation,Musical,Family
Chapayev,movie,"[""Comedy"",""Drama"",""History""]",1934,Comedy,Drama,History
Little Miss Marker,movie,"[""Comedy"",""Family"",""Drama""]",1934,Comedy,Family,Drama
Triumph of the Will,movie,"[""Documentary"",""War""]",1935,Documentary,War,
Viva Villa!,movie,"[""Biography"",""Western""]",1934,Biography,Western,
Gold Diggers of 1935,movie,"[""Comedy"",""Musical""]",1935,Comedy,Musical,
A Midsummer Night's Dream,movie,"[""Comedy"",""Fantasy"",""Romance""]",1935,Comedy,Fantasy,Romance
Black Legion,movie,"[""Crime"",""Drama"",""Film-Noir""]",1937,Crime,Drama,Film-Noir
Sisters of the Gion,movie,"[""Drama""]",1936,Drama,,
The Invisible Ray,movie,"[""Horror"",""Sci-Fi"",""Thriller""]",1936,Horror,Sci-Fi,Thriller
Der Kaiser von Kalifornien,movie,"[""Western""]",1936,Western,,
Mayerling,movie,"[""Drama"",""Romance""]",1936,Drama,Romance,
Three Smart Girls,movie,"[""Comedy"",""Musical"",""Romance""]",1936,Comedy,Musical,Romance
Captains Courageous,movie,"[""Adventure"",""Drama"",""Family""]",1937,Adventure,Drama,Family
The Good Earth,movie,"[""Drama"",""Romance""]",1937,Drama,Romance,
To New Shores,movie,"[""Drama""]",1937,Drama,,
Love Finds Andy Hardy,movie,"[""Comedy"",""Romance""]",1938,Comedy,Romance,
The Rage of Paris,movie,"[""Comedy""]",1938,Comedy,,
Too Much Johnson,movie,"[""Comedy""]",1938,Comedy,,
You Can't Take It With You,movie,"[""Comedy"",""Drama"",""Romance""]",1938,Comedy,Drama,Romance
Gone with the Wind,movie,"[""Drama"",""Romance"",""War""]",1939,Drama,Romance,War
Wuthering Heights,movie,"[""Drama"",""Romance""]",1939,Drama,Romance,
North West Mounted Police,movie,"[""Action"",""Adventure"",""Drama""]",1940,Action,Adventure,Drama
Pinocchio,movie,"[""Animation"",""Family"",""Fantasy""]",1940,Animation,Family,Fantasy
The Shop Around the Corner,movie,"[""Comedy"",""Drama"",""Romance""]",1940,Comedy,Drama,Romance
The Land,movie,"[""Documentary""]",1942,Documentary,,
Der groèe Kènig,movie,"[""Drama"",""History"",""War""]",1942,Drama,History,War
One of Our Aircraft Is Missing,movie,"[""Action"",""Drama"",""War""]",1942,Action,Drama,War
Random Harvest,movie,"[""Drama"",""Romance""]",1942,Drama,Romance,
Saboteur,movie,"[""Thriller"",""War""]",1942,Thriller,War,
Woman of the Year,movie,"[""Comedy"",""Drama"",""Romance""]",1942,Comedy,Drama,Romance
Desert Victory,movie,"[""Documentary"",""War""]",1943,Documentary,War,
"Hello Frisco, Hello",movie,"[""Comedy"",""Musical"",""Romance""]",1943,Comedy,Musical,Romance
The Song of Bernadette,movie,"[""Biography"",""Drama""]",1943,Biography,Drama,
Gaslight,movie,"[""Crime"",""Drama"",""Mystery""]",1944,Crime,Drama,Mystery
Marèa Candelaria (Xochimilco),movie,"[""Romance"",""Drama""]",1944,Romance,Drama,
National Velvet,movie,"[""Drama"",""Family"",""Sport""]",1944,Drama,Family,Sport
Thirty Seconds Over Tokyo,movie,"[""Drama"",""History"",""War""]",1944,Drama,History,War
And Then There Were None,movie,"[""Crime"",""Drama"",""Mystery""]",1945,Crime,Drama,Mystery
The Clock,movie,"[""Drama"",""Romance""]",1945,Drama,Romance,
The House on 92nd Street,movie,"[""Crime"",""Drama"",""Film-Noir""]",1945,Crime,Drama,Film-Noir
Anna and the King of Siam,movie,"[""Biography"",""Drama"",""Romance""]",1946,Biography,Drama,Romance
The Diary of a Chambermaid,movie,"[""Drama"",""Romance""]",1946,Drama,Romance,
A Double Life,movie,"[""Crime"",""Drama"",""Film-Noir""]",1947,Crime,Drama,Film-Noir
La nao capitana,movie,"[""Drama""]",1947,Drama,,
Angelina,movie,"[""Drama""]",1947,Drama,,
One Wonderful Sunday,movie,"[""Drama"",""Romance""]",1947,Drama,Romance,
Bud Abbott Lou Costello Meet Frankenstein,movie,"[""Comedy"",""Horror"",""Sci-Fi""]",1948,Comedy,Horror,Sci-Fi
Fort Apache,movie,"[""Western""]",1948,Western,,
He Walked by Night,movie,"[""Crime"",""Film-Noir"",""Thriller""]",1948,Crime,Film-Noir,Thriller
Louisiana Story,movie,"[""Drama""]",1948,Drama,,
The Mill on the Po,movie,"[""Drama"",""History""]",1949,Drama,History,
Mother Wore Tights,movie,"[""Musical""]",1947,Musical,,
I Became a Criminal,movie,"[""Crime"",""Drama""]",1947,Crime,Drama,
Torment,movie,"[""Drama""]",1944,Drama,,
An Act of Murder,movie,"[""Crime"",""Drama"",""Film-Noir""]",1948,Crime,Drama,Film-Noir
Call Northside 777,movie,"[""Crime"",""Drama"",""Film-Noir""]",1948,Crime,Drama,Film-Noir
Every Girl Should Be Married,movie,"[""Comedy""]",1948,Comedy,,
A Foreign Affair,movie,"[""Comedy"",""Drama"",""Romance""]",1948,Comedy,Drama,Romance
A Hen in the Wind,movie,"[""Drama""]",1948,Drama,,
The Pirate,movie,"[""Adventure"",""Comedy"",""Musical""]",1948,Adventure,Comedy,Musical
Red River,movie,"[""Action"",""Adventure"",""Romance""]",1948,Action,Adventure,Romance
Sitting Pretty,movie,"[""Comedy""]",1948,Comedy,,
All the King's Men,movie,"[""Drama""]",1949,Drama,,
Battleground,movie,"[""Action"",""War"",""Drama""]",1949,Action,War,Drama
The Hidden Room,movie,"[""Crime"",""Film-Noir"",""Mystery""]",1949,Crime,Film-Noir,Mystery
Lost Boundaries,movie,"[""Drama""]",1949,Drama,,
Mi adorado Juan,movie,"[""Comedy""]",1950,Comedy,,
Occupe-toi d'Amèlie..!,movie,"[""Comedy""]",1949,Comedy,,
Passport to Pimlico,movie,"[""Comedy""]",1949,Comedy,,
The Quiet Duel,movie,"[""Drama""]",1949,Drama,,
The Window,movie,"[""Drama"",""Film-Noir"",""Thriller""]",1949,Drama,Film-Noir,Thriller
The Black Rose,movie,"[""Adventure"",""History"",""War""]",1950,Adventure,History,War
Story of a Love Affair,movie,"[""Crime"",""Drama"",""Romance""]",1950,Crime,Drama,Romance
D.O.A.,movie,"[""Drama"",""Film-Noir"",""Mystery""]",1950,Drama,Film-Noir,Mystery
Gun Crazy,movie,"[""Crime"",""Drama"",""Film-Noir""]",1950,Crime,Drama,Film-Noir
The Jackpot,movie,"[""Comedy""]",1950,Comedy,,
The Men,movie,"[""Drama""]",1950,Drama,,
My Blue Heaven,movie,"[""Drama"",""Musical""]",1950,Drama,Musical,
Trio,movie,"[""Drama"",""Romance""]",1950,Drama,Romance,
Seven Days to Noon,movie,"[""Thriller"",""Drama""]",1950,Thriller,Drama,
The West Point Story,movie,"[""Comedy"",""Music""]",1950,Comedy,Music,
"Cry, the Beloved Country",movie,"[""Drama""]",1951,Drama,,
The Little World of Don Camillo,movie,"[""Comedy""]",1952,Comedy,,
Saturday's Hero,movie,"[""Drama"",""Sport""]",1951,Drama,Sport,
Strangers on a Train,movie,"[""Crime"",""Film-Noir"",""Thriller""]",1951,Crime,Film-Noir,Thriller
Feudin' Fools,movie,"[""Comedy""]",1952,Comedy,,
High Noon,movie,"[""Drama"",""Thriller"",""Western""]",1952,Drama,Thriller,Western
The Naked Spur,movie,"[""Thriller"",""Western""]",1953,Thriller,Western,
Calamity Jane,movie,"[""Comedy"",""Musical"",""Western""]",1953,Comedy,Musical,Western
The Desert Rats,movie,"[""Action"",""Adventure"",""Drama""]",1953,Action,Adventure,Drama
Peter Pan,movie,"[""Animation"",""Adventure"",""Family""]",1953,Animation,Adventure,Family
The Crucified Lovers,movie,"[""Drama"",""History"",""Romance""]",1954,Drama,History,Romance
Dial M for Murder,movie,"[""Crime"",""Thriller""]",1954,Crime,Thriller,
The Miracle of Marcelino,movie,"[""Comedy"",""Drama""]",1955,Comedy,Drama,
Rear Window,movie,"[""Mystery"",""Thriller""]",1954,Mystery,Thriller,
Sound of the Mountain,movie,"[""Drama""]",1954,Drama,,
Blackboard Jungle,movie,"[""Drama""]",1955,Drama,,
The Big Knife,movie,"[""Drama"",""Film-Noir""]",1955,Drama,Film-Noir,
The Court-Martial of Billy Mitchell,movie,"[""Biography"",""Drama"",""War""]",1955,Biography,Drama,War
Devdas,movie,"[""Drama"",""Musical"",""Romance""]",1955,Drama,Musical,Romance
The Ladykillers,movie,"[""Comedy"",""Crime""]",1955,Comedy,Crime,
She Was Like a Wild Chrysanthemum,movie,"[""Drama"",""Romance""]",1955,Drama,Romance,
Not as a Stranger,movie,"[""Drama"",""Film-Noir"",""Romance""]",1955,Drama,Film-Noir,Romance
Picnic,movie,"[""Drama"",""Romance""]",1955,Drama,Romance,
Shree 420,movie,"[""Comedy"",""Crime"",""Drama""]",1955,Comedy,Crime,Drama
Stella,movie,"[""Drama"",""Romance""]",1955,Drama,Romance,
Strategic Air Command,movie,"[""Action"",""Drama"",""War""]",1955,Action,Drama,War
The Tender Trap,movie,"[""Comedy"",""Musical"",""Romance""]",1955,Comedy,Musical,Romance
Trial,movie,"[""Drama""]",1955,Drama,,
Aparajito,movie,"[""Drama""]",1956,Drama,,
The Eddy Duchin Story,movie,"[""Biography"",""Drama"",""Music""]",1956,Biography,Drama,Music
The Man Who Never Was,movie,"[""War"",""Drama""]",1956,War,Drama,
An Eye for an Eye,movie,"[""Drama""]",1957,Drama,,
Le mystère Picasso,movie,"[""Documentary""]",1956,Documentary,,
The Solid Gold Cadillac,movie,"[""Comedy"",""Romance""]",1956,Comedy,Romance,
It Happened on Fifth Avenue,movie,"[""Comedy"",""Music"",""Romance""]",1947,Comedy,Music,Romance
Kiss of Death,movie,"[""Crime"",""Drama"",""Film-Noir""]",1947,Crime,Drama,Film-Noir
Miracle on 34th Street,movie,"[""Comedy"",""Drama"",""Family""]",1947,Comedy,Drama,Family
Possessed,movie,"[""Crime"",""Drama"",""Film-Noir""]",1947,Crime,Drama,Film-Noir
The Sin of Harold Diddlebock,movie,"[""Comedy""]",1947,Comedy,,
Angels' Alley,movie,"[""Comedy"",""Crime"",""Drama""]",1948,Comedy,Crime,Drama
Apartment for Peggy,movie,"[""Drama""]",1948,Drama,,
Quartet,movie,"[""Drama""]",1948,Drama,,
Force of Evil,movie,"[""Crime"",""Film-Noir"",""Drama""]",1948,Crime,Film-Noir,Drama
I Remember Mama,movie,"[""Drama"",""Family""]",1948,Drama,Family,
The Mating of Millie,movie,"[""Comedy""]",1948,Comedy,,
La mies es mucha,movie,"[""Drama""]",1948,Drama,,
Bitter Rice,movie,"[""Drama""]",1949,Drama,,
Without Pity,movie,"[""Crime"",""Drama""]",1948,Crime,Drama,
The Street with No Name,movie,"[""Crime"",""Drama"",""Film-Noir""]",1948,Crime,Drama,Film-Noir
That Lady in Ermine,movie,"[""Comedy"",""Fantasy"",""Musical""]",1948,Comedy,Fantasy,Musical
La Terra Trema,movie,"[""Drama""]",1948,Drama,,
The Winslow Boy,movie,"[""Drama""]",1948,Drama,,
The Barkleys of Broadway,movie,"[""Comedy"",""Musical""]",1949,Comedy,Musical,
