title,type,genres,year,Genres1,Genres2,Genres3
Me Too,movie,"[""Drama""]",2009,Drama,,
"Lebanon, Pa.",movie,"[""Drama""]",2010,Drama,,
Railways,movie,"[""Drama""]",2010,Drama,,
The FP,movie,"[""Comedy""]",2011,Comedy,,
Defendor,movie,"[""Comedy"",""Crime"",""Drama""]",2009,Comedy,Crime,Drama
Our Town,movie,"[""Crime"",""Mystery"",""Thriller""]",2007,Crime,Mystery,Thriller
Accident,movie,"[""Thriller""]",2009,Thriller,,
Platon,movie,"[""Drama""]",2008,Drama,,
Everyone Else,movie,"[""Drama"",""Romance""]",2009,Drama,Romance,
Ouija,movie,"[""Horror""]",2014,Horror,,
Antique,movie,"[""Comedy"",""Drama""]",2008,Comedy,Drama,
Bomber,movie,"[""Comedy"",""Drama""]",2009,Comedy,Drama,
Pinprick,movie,"[""Drama"",""Thriller""]",2009,Drama,Thriller,
Flipping Out,movie,"[""Documentary"",""War""]",2008,Documentary,War,
Seeking Justice,movie,"[""Action"",""Drama"",""Thriller""]",2011,Action,Drama,Thriller
Cars 2,movie,"[""Animation"",""Adventure"",""Comedy""]",2011,Animation,Adventure,Comedy
Dim Sum Funeral,movie,"[""Comedy"",""Drama""]",2008,Comedy,Drama,
Limitless,movie,"[""Mystery"",""Sci-Fi"",""Thriller""]",2011,Mystery,Sci-Fi,Thriller
Frankie & Alice,movie,"[""Biography"",""Drama""]",2010,Biography,Drama,
I Am Love,movie,"[""Drama"",""Romance""]",2009,Drama,Romance,
The Debt,movie,"[""Drama"",""Thriller""]",2010,Drama,Thriller,
Everybody Dies But Me,movie,"[""Drama""]",2008,Drama,,
Passenger Side,movie,"[""Comedy"",""Drama""]",2009,Comedy,Drama,
Big Fan,movie,"[""Comedy"",""Crime"",""Drama""]",2009,Comedy,Crime,Drama
Jonas Brothers: The 3D Concert Experience,movie,"[""Documentary"",""Music""]",2009,Documentary,Music,
It's Complicated,movie,"[""Comedy"",""Romance""]",2009,Comedy,Romance,
Hot Tub Time Machine,movie,"[""Comedy"",""Sci-Fi""]",2010,Comedy,Sci-Fi,
Involuntary,movie,"[""Drama""]",2008,Drama,,
Awakening,movie,"[""Short"",""Drama""]",2008,Short,Drama,
"My Son, My Son, What Have Ye Done",movie,"[""Drama"",""Thriller""]",2009,Drama,Thriller,
Don't Look Down,movie,"[""Drama"",""Romance""]",2008,Drama,Romance,
The Most Beautiful Night in the World,movie,"[""Drama""]",2008,Drama,,
Valami Amerika 2,movie,"[""Comedy""]",2008,Comedy,,
Brothers at War,movie,"[""Documentary"",""War""]",2009,Documentary,War,
"Father, Son & Holy Cow",movie,"[""Comedy""]",2011,Comedy,,
Snow White and Russian Red,movie,"[""Comedy"",""Drama""]",2009,Comedy,Drama,
The Tourist,movie,"[""Action"",""Romance"",""Thriller""]",2010,Action,Romance,Thriller
RED,movie,"[""Action"",""Comedy"",""Crime""]",2010,Action,Comedy,Crime
Giovanna's Father,movie,"[""Drama"",""War""]",2008,Drama,War,
Camp Rock 2: The Final Jam,movie,"[""Comedy"",""Family"",""Musical""]",2010,Comedy,Family,Musical
Captive,movie,"[""Action"",""Drama""]",2008,Action,Drama,
Ajab Prem Ki Ghazab Kahani,movie,"[""Comedy"",""Romance""]",2009,Comedy,Romance,
The Old Crocodile,movie,"[""Animation"",""Short""]",2005,Animation,Short,
Giulia Doesn't Date at Night,movie,"[""Drama"",""Thriller""]",2009,Drama,Thriller,
Lovecraft: Fear of the Unknown,movie,"[""Documentary""]",2008,Documentary,,
Pig,movie,"[""Drama"",""Mystery"",""Sci-Fi""]",2011,Drama,Mystery,Sci-Fi
Boogie Man: The Lee Atwater Story,movie,"[""Documentary"",""Biography""]",2008,Documentary,Biography,
Firaaq,movie,"[""Drama"",""History""]",2008,Drama,History,
The Friends at the Margherita Cafe,movie,"[""Comedy"",""Drama"",""Romance""]",2009,Comedy,Drama,Romance
Mein Leben - Marcel Reich-Ranicki,movie,"[""Biography"",""Drama""]",2009,Biography,Drama,
Un lac,movie,"[""Drama""]",2008,Drama,,
Three Wise Men,movie,"[""Drama""]",2008,Drama,,
In Therapy,movie,"[""Comedy"",""Drama"",""Romance""]",2009,Comedy,Drama,Romance
Anton Chekhov's The Duel,movie,"[""Drama""]",2010,Drama,,
Bumazhnyy soldat,movie,"[""Drama"",""Romance""]",2008,Drama,Romance,
Unmistaken Child,movie,"[""Documentary""]",2008,Documentary,,
Shank,movie,"[""Drama""]",2009,Drama,,
Guts,movie,"[""Drama""]",2009,Drama,,
Mala Moskwa,movie,"[""Drama"",""Romance""]",2008,Drama,Romance,
Plastic Planet,movie,"[""Documentary""]",2009,Documentary,,
Accomplices,movie,"[""Crime""]",2009,Crime,,
Last Night,movie,"[""Drama"",""Romance""]",2010,Drama,Romance,
Gifted Hands: The Ben Carson Story,movie,"[""Biography"",""Drama""]",2009,Biography,Drama,
"For a Moment, Freedom",movie,"[""Drama""]",2008,Drama,,
The Watch,movie,"[""Action"",""Comedy"",""Sci-Fi""]",2012,Action,Comedy,Sci-Fi
Genius Party Beyond,movie,"[""Animation""]",2008,Animation,,
Enthiran,movie,"[""Action"",""Romance"",""Sci-Fi""]",2010,Action,Romance,Sci-Fi
Questa notte è ancora nostra,movie,"[""Comedy""]",2008,Comedy,,
The Angel,movie,"[""Drama""]",2009,Drama,,
The Lone Ranger,movie,"[""Action"",""Adventure"",""Western""]",2013,Action,Adventure,Western
Lawless,movie,"[""Crime"",""Drama""]",2012,Crime,Drama,
Sea Wolf,series,"[""Adventure"",""Drama"",""Romance""]",2009,Adventure,Drama,Romance
Tinker Bell and the Great Fairy Rescue,movie,"[""Animation"",""Adventure"",""Family""]",2010,Animation,Adventure,Family
Endgame,movie,"[""Drama"",""History""]",2009,Drama,History,
Going Postal,series,"[""Comedy"",""Fantasy"",""Mystery""]",2010,Comedy,Fantasy,Mystery
Chimpanzee,movie,"[""Documentary""]",2012,Documentary,,
African Cats,movie,"[""Documentary"",""Adventure""]",2011,Documentary,Adventure,
Hellsinki,movie,"[""Biography"",""Crime"",""Drama""]",2009,Biography,Crime,Drama
That's My Boy,movie,"[""Comedy""]",2012,Comedy,,
Sorority Row,movie,"[""Horror"",""Mystery""]",2009,Horror,Mystery,
Saw VI,movie,"[""Horror"",""Mystery""]",2009,Horror,Mystery,
The Art of War II: Betrayal,movie,"[""Action"",""Thriller""]",2008,Action,Thriller,
RoboCop,movie,"[""Action"",""Sci-Fi"",""Thriller""]",2014,Action,Sci-Fi,Thriller
The Thaw,movie,"[""Horror"",""Sci-Fi"",""Thriller""]",2009,Horror,Sci-Fi,Thriller
Mahler on the Couch,movie,"[""Biography"",""Drama""]",2010,Biography,Drama,
Skhizein,movie,"[""Animation"",""Short""]",2008,Animation,Short,
A Mulher Invisèvel,movie,"[""Comedy""]",2009,Comedy,,
Lemmy,movie,"[""Documentary"",""Biography"",""Music""]",2010,Documentary,Biography,Music
Mariachi Gringo,movie,"[""Comedy"",""Romance""]",2012,Comedy,Romance,
Amazonia,movie,"[""Adventure"",""Family""]",2013,Adventure,Family,
Dare,movie,"[""Drama"",""Romance""]",2009,Drama,Romance,
Dear Lemon Lima,movie,"[""Comedy""]",2009,Comedy,,
Judas Kiss,movie,"[""Drama"",""Sci-Fi""]",2011,Drama,Sci-Fi,
Through the Mist,movie,"[""Music""]",2009,Music,,
Vacation,movie,"[""Drama""]",2008,Drama,,
Breaking Upwards,movie,"[""Romance""]",2009,Romance,,
Norman,movie,"[""Comedy"",""Drama""]",2010,Comedy,Drama,
Must Read After My Death,movie,"[""Documentary""]",2007,Documentary,,
Wild Field,movie,"[""Drama""]",2008,Drama,,
Splinterheads,movie,"[""Comedy""]",2009,Comedy,,
Army of Crime,movie,"[""Drama"",""History"",""War""]",2009,Drama,History,War
Je l'aimais,movie,"[""Drama"",""Romance""]",2009,Drama,Romance,
The Man with the Iron Fists,movie,"[""Action""]",2012,Action,,
Face,movie,"[""Comedy"",""Drama"",""Musical""]",2009,Comedy,Drama,Musical
Aftermath: Population Zero,movie,"[""Documentary"",""Sci-Fi""]",2008,Documentary,Sci-Fi,
The Devil's Double,movie,"[""Biography"",""Drama"",""Thriller""]",2011,Biography,Drama,Thriller
To Save a Life,movie,"[""Drama""]",2009,Drama,,
Don't Be Afraid of the Dark,movie,"[""Fantasy"",""Horror"",""Thriller""]",2010,Fantasy,Horror,Thriller
The Forgotten Woman,movie,"[""Documentary""]",2008,Documentary,,
Deliver Us from Evil,movie,"[""Thriller""]",2009,Thriller,,
2 Guns,movie,"[""Action"",""Comedy"",""Crime""]",2013,Action,Comedy,Crime
The Spy Next Door,movie,"[""Action"",""Comedy"",""Family""]",2010,Action,Comedy,Family
Woochi,movie,"[""Action"",""Adventure"",""Comedy""]",2009,Action,Adventure,Comedy
Kaminey: The Scoundrels,movie,"[""Action"",""Comedy"",""Crime""]",2009,Action,Comedy,Crime
Temple Grandin,movie,"[""Biography"",""Drama""]",2010,Biography,Drama,
